@relation data_420

@attribute class {B,C,D,E,F,H}
@attribute largest_spot_size {A,H,K,R,S,X}
@attribute spot_distribution {C,I,O,X}
@attribute Activity {1,2}
@attribute Evolution {1,2,3}
@attribute Previous_24_hour_flare_activity_code {1,2,3}
@attribute Historically-complex {1,2}
@attribute Did_region_become_historically_complex {1,2}
@attribute Area {1,2}
@attribute Area_of_the_largest_spot {1}
@attribute C-class_flares_production_by_this_region {0,1,2,3,4,5,6,8}
@attribute M-class_flares_production_by_this_region {0,1,2,3,4,5}
@attribute binaryClass {P,N}

@data
D,A,O,1,1,1,2,2,1,1,0,0,P
D,A,I,1,2,1,2,2,1,1,0,0,P
H,S,X,1,2,1,1,1,1,1,0,0,P
C,R,O,2,2,1,1,2,1,1,0,0,P
C,R,O,1,3,1,1,2,1,1,0,0,P
D,S,I,1,3,1,1,2,1,1,1,0,P
H,R,X,1,2,1,1,1,1,1,0,0,P
H,R,X,1,2,1,1,2,1,1,0,0,P
E,A,C,1,3,1,2,2,1,1,0,0,P
D,A,O,1,3,1,1,2,1,1,0,0,P
C,S,O,1,3,1,1,2,1,1,0,0,P
H,S,X,2,2,1,1,2,1,1,0,0,P
D,R,O,1,3,1,2,2,1,1,0,0,P
C,S,O,1,2,1,2,2,1,1,0,0,P
H,H,X,1,2,1,1,1,1,1,0,0,P
C,R,O,1,3,1,1,2,1,1,0,0,P
D,S,I,1,3,1,2,2,1,1,1,0,P
C,R,O,1,3,1,1,2,1,1,0,1,P
H,R,X,1,3,1,1,2,1,1,0,0,P
H,S,X,1,2,1,2,1,1,1,0,0,P
H,S,X,1,2,1,1,1,1,1,0,0,P
D,A,O,1,1,1,2,2,1,1,0,0,P
D,S,I,1,3,1,1,2,1,1,0,0,P
H,S,X,1,3,1,1,2,1,1,0,0,P
C,R,I,1,3,1,2,2,1,1,0,0,P
D,R,I,1,3,1,2,2,1,1,0,0,P
H,A,X,1,2,1,1,1,1,1,0,0,P
B,X,O,1,2,1,1,2,1,1,0,0,P
E,A,I,2,3,1,2,2,1,1,2,0,P
D,R,O,1,3,1,1,2,1,1,0,1,P
H,H,X,1,3,1,2,1,1,1,0,0,P
D,A,I,1,2,1,1,2,1,1,0,0,P
D,R,O,1,3,1,1,2,1,1,0,0,P
B,X,O,1,3,1,1,2,1,1,0,0,P
D,S,I,1,3,1,2,2,1,1,0,0,P
H,S,X,1,2,1,1,2,1,1,0,0,P
D,A,I,1,3,1,2,2,1,1,0,0,P
C,R,O,1,3,1,1,2,1,1,0,0,P
D,R,O,1,2,1,2,2,1,1,0,0,P
H,S,X,1,3,1,1,1,1,1,0,0,P
D,R,O,1,3,1,1,2,1,1,0,0,P
E,A,I,2,2,1,2,2,1,1,3,0,P
D,A,I,2,3,3,1,2,1,1,1,0,P
B,X,O,1,2,1,1,2,1,1,0,0,P
H,A,X,1,3,1,2,1,1,1,0,0,P
D,A,I,1,3,1,2,2,1,1,3,0,P
C,R,O,1,2,1,1,2,1,1,0,0,P
D,S,O,1,1,1,2,2,1,1,0,0,P
H,S,X,1,2,1,1,2,1,1,0,0,P
D,R,O,1,1,1,2,2,1,1,0,0,P
C,R,O,1,2,1,1,2,1,1,0,0,P
B,X,O,1,2,1,2,2,1,1,0,0,P
H,S,X,1,3,1,1,1,1,1,0,0,P
C,R,O,1,2,1,1,2,1,1,0,0,P
E,A,O,2,2,1,2,2,1,1,4,0,P
E,A,I,1,3,1,2,2,1,1,0,0,P
H,A,X,1,3,1,2,1,1,1,0,0,P
D,A,I,2,3,1,2,2,1,1,0,1,P
C,R,O,1,3,1,1,2,1,1,0,0,P
D,S,O,1,2,1,2,2,1,1,0,0,P
H,S,X,1,2,1,1,2,1,1,0,0,P
D,R,O,1,3,1,2,2,1,1,0,0,P
H,S,X,1,2,1,1,1,1,1,0,0,P
C,A,O,1,1,1,1,2,1,1,0,0,P
E,A,I,1,2,1,2,2,1,1,0,0,P
E,A,C,2,2,1,2,2,1,1,0,0,P
H,A,X,1,2,1,2,1,1,1,0,0,P
D,A,C,2,2,3,2,2,1,1,0,0,P
E,S,I,1,2,1,2,2,1,1,0,0,P
H,R,X,1,2,1,1,1,1,1,0,0,P
H,S,X,1,3,1,1,2,1,1,0,0,P
D,A,I,1,3,1,2,2,1,1,0,1,P
H,S,X,1,3,1,1,1,1,1,0,0,P
E,A,O,2,3,1,2,2,1,1,0,0,P
E,A,O,1,2,1,2,2,1,1,1,0,P
C,A,O,1,2,1,2,2,1,1,0,0,P
D,A,C,1,2,1,2,2,1,1,0,0,P
E,S,I,1,3,1,2,2,1,1,5,1,P
H,R,X,1,3,1,1,1,1,1,0,0,P
D,R,I,1,3,1,1,2,1,1,1,0,P
H,S,X,1,3,1,1,1,1,1,0,0,P
H,S,X,1,3,1,2,1,1,1,0,0,P
D,S,I,1,3,1,2,2,1,1,0,0,P
H,S,X,1,2,1,1,1,1,1,0,0,P
H,A,X,1,2,1,2,2,1,1,0,0,P
F,A,I,1,2,1,2,2,1,1,4,0,P
C,A,O,1,3,1,2,2,1,1,0,0,P
C,A,I,1,2,1,2,2,1,1,0,0,P
E,A,I,1,3,1,2,2,1,1,0,0,P
H,S,X,1,2,1,1,1,1,1,1,0,P
D,R,I,2,3,1,2,2,1,1,1,0,P
H,S,X,1,2,1,2,1,1,1,0,0,P
